Jim writes a letter.;Voz activa
A letter is written by Jim;Voz pasiva
Jim wrote a letter.;Voz activa
A letter was written by Jim.;Voz pasiva
Jim will write a letter.;Voz activa
A letter will be written by Jim.;Voz pasiva
Jim has written a letter.;Voz activa
A letter has been written by Jim.;Voz pasiva
Francis builds a house;Voz activa
A house is built by Francis;Voz pasiva
Pierre is making a lemon pie;Voz activa
A lemon pie is being made by Pierre;Voz pasiva
Helen wrote a history book;Voz activa
A history book was written by Helen;Voz pasiva
Susan will send the email tonight;Voz activa
An email will be sent tonight by Susan;Voz pasiva
Charles has signed the contract;Voz activa
The contract has been signed by Charles;Voz pasiva
Allan had already stolen the car when the police arrived;Voz activa
The car had already been stolen by Allan when the police arrived;Voz pasiva
His house was destroyed by the fire.;Voz pasiva
The city was captured by the enemy.;Voz pasiva
The mail is delivered by Andy every day.;Voz pasiva
The cake will be eaten by Walter.;Voz pasiva
A dancing class was started by my sister last week.;Voz pasiva
That book was written by Wilde.;Voz pasiva
The concert was enjoyed by the audience.;Voz pasiva
The report has been finished by Mary.;Voz pasiva
The thief was captured by the police.;Voz pasiva
The money was returned by Kelly.;Voz pasiva
The war was followed by a political crisis.;Voz pasiva
Two suspects have been arrested by police;Voz pasiva
The letter has been sent by my father;Voz pasiva
The poem was published in 1900.;Voz pasiva
The child was found in the forest.;Voz pasiva
The city was destroyed by earthquake.;Voz pasiva
The building was design by a German Architect.;Voz pasiva
Mary enjoys the view.;Voz activa
The boys play basketball;Voz activa
She will wear the pink dress.;Voz activa
Thomas told a lie. ;Voz activa
Dad will arrive soon.;Voz activa
The mailman brought two letters;Voz activa
I do not know the answer. ;Voz activa
You might win the race.;Voz activa
He could play the piano very well.;Voz activa
I will call you tomorrow.;Voz activa
I have finished my meal.;Voz activa
He is done his homework.;Voz activa
She had known the secret for a long time.;Voz activa
John has washed the dishes.;Voz activa
He has turned off the light.;Voz activa
Harry ate six shrimp at dinner.;Voz activa
six shrimp were eaten by Harry.;Voz pasiva
Beautiful giraffes roam the savannah;Voz activa
The savannah is roamed by beautiful giraffes;Voz pasiva
Sue changed the flat tire;Voz activa
The flat tire was changed by Sue;Voz pasiva
We are going to watch a movie tonight;Voz activa
A movie is going to be watched by us tonight;Voz pasiva
I ran the obstacle course in record time;Voz activa
The obstacle course was run by me in record time;Voz pasiva
The crew paved the entire stretch of highway;Voz activa
The entire stretch of highway was paved by the crew;Voz pasiva
Mom read the novel in one day;Voz activa
The novel was read by Mom in one day;Voz pasiva
The critic wrote a scathing review;Voz activa
A scathing review was written by the critic;Voz pasiva
I will clean the house every Saturday;Voz activa
The house will be cleaned by me every Saturday;Voz pasiva
The staff is required to watch a safety video every year;Voz activa
A safety video will be watched by the staff every year;Voz pasiva
She faxed her application for a new job;Voz activa
The application for a new job was faxed by her;Voz pasiva
Tom painted the entire house;Voz activa
The entire house was painted by Tom;Voz pasiva
The teacher always answers the students questions;Voz activa
The students’ questions are always answered by the teacher;Voz pasiva
The choir really enjoys that piece;Voz activa
That piece is really enjoyed by the choir;Voz pasiva
Who taught you to ski? ;Voz activa
By whom were you taught to ski? ;Voz pasiva
The forest fire destroyed the whole suburb. ;Voz activa
The whole suburb was destroyed by the forest fire. ;Voz pasiva
The two kings are signing the treaty. ;Voz activa
The treaty is being signed by the two kings. ;Voz pasiva
The cleaning crew vacuums and dusts the office every night. ;Voz activa
Every night the office is vacuumed and dusted by the cleaning crew. ;Voz pasiva
Larry generously donated money to the homeless shelter. ;Voz activa
Money was generously donated to the homeless shelter by Larry. ;Voz pasiva
No one responded to my sales ad. ;Voz activa
My sales ad was not responded to by anyone. ;Voz pasiva
The wedding planner is making all the reservations. ;Voz activa
All the reservations will be made by the wedding planner. ;Voz pasiva
Susan will bake two dozen cupcakes for the bake sale. ;Voz activa
two dozen cookies will be baked by Susan. ;Voz pasiva
The science class viewed the comet. ;Voz activa
The comet was viewed by the science class. ;Voz pasiva
Who ate the last cookie? ;Voz activa
The last cookie was eaten by whom? ;Voz pasiva
Alex posted the video on Facebook. ;Voz activa
The video was posted on Facebook by Alex. ;Voz pasiva
The director will give you instructions. ;Voz activa
Instructions will be given to you by the director. ;Voz pasiva
Thousands of tourists view the Grand Canyon every year. ;Voz activa
The Grand Canyon is viewed by thousands of tourists every year. ;Voz pasiva
The homeowners remodeled the house to help it sell. ;Voz activa
